date,data_type,sd,value
2020-12-09,Non-B117,420.2046799814975,1716.5614388594618
2020-12-10,Non-B117,620.4070153252162,2142.892624395847
2020-12-11,Non-B117,824.510337989295,2570.6743290912136
2020-12-12,Non-B117,1054.7794671272236,3029.9178027685007
2020-12-13,Non-B117,1263.4327001932236,3487.7575658394935
2020-12-14,B117,1.2420538093535984,3.263242269856427
2020-12-14,Non-B117,1295.6210258316155,3839.6003350165615
2020-12-15,B117,1.364332582597044,3.924049743883798
2020-12-15,Non-B117,1153.4335561122086,4047.793532809604
2020-12-16,B117,1.5196520257639268,4.664356952978345
2020-12-16,Non-B117,1034.4056600011854,4160.039438950241
2020-12-17,B117,1.7369644918886313,5.6362822992699115
2020-12-17,Non-B117,1035.299362567922,4208.505976208466
2020-12-18,B117,2.0709979333072455,6.915802454439736
2020-12-18,Non-B117,1106.458728447749,4158.788556850052
2020-12-19,B117,2.5819265547213472,8.364840838364183
2020-12-19,Non-B117,1177.8433832983037,4042.3315394552383
2020-12-20,B117,3.1145832005099643,9.943665455375726
2020-12-20,Non-B117,1137.6673027694799,3910.4462410625656
2020-12-21,B117,3.604605955298849,11.72231853685221
2020-12-21,Non-B117,1025.7512623564014,3773.4662993638744
2020-12-22,B117,4.212227116406237,13.7375063148186
2020-12-22,Non-B117,964.9348292102563,3638.7778189475666
2020-12-23,B117,4.788662928625199,16.224805030623287
2020-12-23,Non-B117,982.1984067124984,3511.0077696124677
2020-12-24,B117,5.34947657986203,19.282995365909617
2020-12-24,Non-B117,1105.4154184614263,3398.429578740601
2020-12-25,B117,6.287049783891486,22.765717002456274
2020-12-25,Non-B117,1358.8374979992993,3303.106663287636
2020-12-26,B117,7.542239982601365,26.859856234446145
2020-12-26,Non-B117,1521.0432459907054,3211.7788882652435
2020-12-27,B117,9.027978483528171,31.729114289222426
2020-12-27,Non-B117,1516.5221099716641,3114.4144729427558
2020-12-28,B117,10.94066466349976,37.20841182857522
2020-12-28,Non-B117,1445.8586089690216,3015.324881896487
2020-12-29,B117,12.568056152061812,43.451634868359996
2020-12-29,Non-B117,1312.5777355020289,2915.32597209151
2020-12-30,B117,13.619721154760356,50.720152890017204
2020-12-30,Non-B117,1098.7331297542319,2811.68608978999
2020-12-31,B117,15.21265515480562,59.081044487357374
2020-12-31,Non-B117,1020.805340941659,2714.9873039833965
2021-01-01,B117,17.776812838793877,69.57171440855164
2021-01-01,Non-B117,1108.0620998251993,2617.264153623549
2021-01-02,B117,21.606681794941107,82.6857130246996
2021-01-02,Non-B117,1186.800893787903,2500.0634350090268
2021-01-03,B117,27.214914355057452,97.69202639942228
2021-01-03,Non-B117,1197.997188758949,2372.8661375218812
2021-01-04,B117,32.53458176451685,112.9840895874845
2021-01-04,Non-B117,1118.1441207506582,2252.781545332028
2021-01-05,B117,36.27517396694323,128.3911083650813
2021-01-05,Non-B117,971.7719154096558,2147.759770049407
2021-01-06,B117,40.751559383471445,145.449252546868
2021-01-06,Non-B117,859.9670801278836,2061.9776617738544
2021-01-07,B117,45.55788434953658,164.38584854476366
2021-01-07,Non-B117,811.7037144411131,1984.9012260619363
2021-01-08,B117,49.63235247388424,184.33381019258687
2021-01-08,Non-B117,819.131914211143,1905.321542391777
2021-01-09,B117,55.02693825161569,205.4400866966282
2021-01-09,Non-B117,867.2287797373349,1825.6808856858174
2021-01-10,B117,61.441107361344415,226.1675092906577
2021-01-10,Non-B117,853.8735172206898,1753.2163448281592
2021-01-11,B117,66.99225827427843,245.21638608679254
2021-01-11,Non-B117,781.1804990187449,1692.379917038721
2021-01-12,B117,72.48010955852136,263.2913030610516
2021-01-12,Non-B117,703.9368636374293,1642.571703497765
2021-01-13,B117,75.8939938273767,280.8244280373738
2021-01-13,Non-B117,637.4089886188432,1597.8238998070249
2021-01-14,B117,77.75984523855608,296.74620108292333
2021-01-14,Non-B117,573.9978606562771,1556.1598203743727
2021-01-15,B117,81.74590406439418,312.4288385983147
2021-01-15,Non-B117,546.7098334479061,1513.7034625944266
2021-01-16,B117,86.39194249256192,329.0974102504025
2021-01-16,Non-B117,565.68054735993735,1467.7016959991904
2021-01-17,B117,92.20284505575594,345.50672089920454
2021-01-17,Non-B117,552.4101920520952,1419.1191764772811
2021-01-18,B117,98.12906760084306,359.46282004660065
2021-01-18,Non-B117,502.2879398206147,1374.132921060132
2021-01-19,B117,101.47628327263422,370.3517992237546
2021-01-19,Non-B117,469.18004302897225,1335.631224746714
2021-01-20,B117,104.07533664884232,379.54470190317994
2021-01-20,Non-B117,455.48448445466045,1300.3806803617365
2021-01-21,B117,106.39601594131568,388.56778140089
2021-01-21,Non-B117,464.6672343218806,1267.6376859280292
2021-01-22,B117,106.69762094398423,397.54493417587963
2021-01-22,Non-B117,547.5465691247339,1236.3617229284794
2021-01-23,B117,107.6694899235203,406.15162597769347
2021-01-23,Non-B117,622.5856183870255,1198.5996031419602
2021-01-24,B117,111.34308776430716,414.13529957958923
2021-01-24,Non-B117,630.3378625900422,1149.9957607616452
2021-01-25,B117,114.77227769969352,421.01612094796224
2021-01-25,Non-B117,604.3389449400285,1096.8943734643462
2021-01-26,B117,115.69511297332961,426.3848756559768
2021-01-26,Non-B117,545.858936269253,1044.0155898338483
2021-01-27,B117,114.97847784375406,431.600402173947
2021-01-27,Non-B117,444.2323409618395,992.7772735105538
2021-01-28,B117,112.65335303255307,437.1461701704481
2021-01-28,Non-B117,372.81834882747694,947.1008326706351
2021-01-29,B117,112.10395910055297,441.7735123184784
2021-01-29,Non-B117,363.885909513962,903.7481465332411
2021-01-30,B117,116.00682203808891,446.86231757418676
2021-01-30,Non-B117,364.18501581915643,855.4246786167591
2021-01-31,B117,122.07035486906787,454.4289998107011
2021-01-31,Non-B117,355.71905227053924,804.5009053506394
2021-02-01,B117,128.17434243321475,464.4411444873481
2021-02-01,Non-B117,332.61777929690396,757.6469919709665
2021-02-02,B117,132.68372238918553,475.9274907866271
2021-02-02,Non-B117,289.2379695763438,717.644000943331
2021-02-03,B117,133.35705149763984,487.7237432257912
2021-02-03,Non-B117,250.92998346650853,684.4784303525878
2021-02-04,B117,133.5485911437669,499.9009718155334
2021-02-04,Non-B117,236.2094472990177,653.6058836566481
2021-02-05,B117,136.71232987021259,517.0559162068411
2021-02-05,Non-B117,254.0772740328292,621.1930393334457
2021-02-06,B117,143.1836951233876,539.3584773592291
2021-02-06,Non-B117,283.91641279597474,587.7174595854024
2021-02-07,B117,152.7757937037311,561.8932503568823
2021-02-07,Non-B117,286.06506393534073,555.6892337864765
2021-02-08,B117,162.33604201403128,584.9978950762643
2021-02-08,Non-B117,262.90451792618086,527.0244189187682
2021-02-09,B117,171.47769339523495,610.4784592027327
2021-02-09,Non-B117,236.0083214361282,502.5287284568206
2021-02-10,B117,178.39316958287978,637.7745696350053
2021-02-10,Non-B117,204.85887899405526,480.4709694214852
2021-02-11,B117,180.72203825078412,665.1242277935878
2021-02-11,Non-B117,174.35875322510498,460.3371072655611
2021-02-12,B117,185.89876470342261,693.2344602825668
2021-02-12,Non-B117,186.2275737351593,443.6283514932167
2021-02-13,B117,198.07353094208725,722.767627930787
2021-02-13,Non-B117,208.82687768249147,428.80477562331066
2021-02-14,B117,212.77027334112378,753.6309813182788
2021-02-14,Non-B117,213.34433909115467,413.6722603531959
2021-02-15,B117,227.37526457843518,785.7966805915096
2021-02-15,Non-B117,210.4086149253694,398.99405544721037
2021-02-16,B117,238.26787798221056,816.4833572783182
2021-02-16,Non-B117,203.23920103746664,386.3995027428298
2021-02-17,B117,240.5193913264204,843.0457321211708
2021-02-17,Non-B117,179.6425117391173,376.51037448602096
2021-02-18,B117,240.45646444326403,866.5003249141834
2021-02-18,Non-B117,157.21210052477062,370.5753895603917
2021-02-19,B117,237.29257731885605,895.997225977599
2021-02-19,Non-B117,147.45995811008348,367.6357940496315
2021-02-20,B117,232.14601378610516,933.4366785420547
2021-02-20,Non-B117,146.52948657438893,365.8575531001285
2021-02-21,B117,237.74227777703817,969.8549392585983
2021-02-21,Non-B117,136.95462449554705,365.59300109108733
2021-02-22,B117,251.54685519331022,1003.7096964336398
2021-02-22,Non-B117,116.94339303830812,366.9762158029168
2021-02-23,B117,271.8969036636111,1039.4462323124562
2021-02-23,Non-B117,103.63553323428063,368.4810681413902
2021-02-24,B117,301.9126016750466,1076.6955394190325
2021-02-24,Non-B117,100.01169867614185,370.7794890524698
2021-02-25,B117,339.4914628087337,1115.0599613702968
2021-02-25,Non-B117,104.37491355177453,374.81205108500075
2021-02-26,B117,381.482585734965,1154.4340712697435
2021-02-26,Non-B117,117.45351644935555,378.8104323921354
2021-02-27,B117,426.5920589369107,1194.5397845883347
2021-02-27,Non-B117,133.017958943916,381.7463297954318
2021-02-28,B117,475.279037287324,1236.3816051550211
2021-02-28,Non-B117,146.85386130852166,383.81661842820796
2021-03-01,B117,527.359061411711,1279.7136716892908
2021-03-01,Non-B117,161.50638306416096,384.96039413475273
